, ROA(C) before interest and depreciation before interest, ROA(A) before interest and % after tax, ROA(B) before interest and depreciation after tax, After-tax net Interest Rate, Interest-bearing debt interest rate, Total Asset Growth Rate, Total Asset Return Growth Rate Ratio, Interest Expense Ratio, Total debt/Total net worth, Debt ratio %, Net worth/Assets, Long-term fund suitability ratio (A), Equity to Long-term Liability, Current Liability to Current Assets, Liability-Assets Flag_0, Liability-Assets Flag_1, Degree of Financial Leverage (DFL), Interest Coverage Ratio (Interest expense to EBIT)
0,0.370594257300249,0.424389446140427,0.40574977247176,0.8088093608768431,0.000725072507250725,4980000000.0,0.263099983681843,0.629951302036958,0.0212659243655332,0.207576261450555,0.7924237385494449,0.00502445472861451,0.126549487816618,0.11825047660899,1,0,0.0266006307607414,0.564050112276341
1,0.464290937454297,0.53821412996075,0.516730017666899,0.8093007256679391,0.000647064706470647,6110000000.0,0.264515778104141,0.6351724633909119,0.0125023937843679,0.171176346101521,0.828823653898479,0.0050588817540408205,0.120916105834965,0.0477752815903248,1,0,0.26457681983737497,0.570174946412453
2,0.42607127187637106,0.499018752725687,0.472295090743616,0.808387521469543,0.00079007900790079,7280000000.0,0.264183975569387,0.629631443404885,0.0212476860084444,0.20751579647489202,0.792484203525108,0.00509989941357539,0.117922319423666,0.0253464891288078,1,0,0.0265547199199004,0.563706076496047
3,0.39984400136498793,0.451264718709115,0.45773328336634705,0.8089655976943609,0.000449044904490449,4880000000.0,0.263371175917508,0.63022835303626,0.009572401718053241,0.151464764035432,0.848535235964567,0.00504692406346464,0.12076045528682999,0.0672496172630687,1,0,0.0266966344214761,0.564663420271241
4,0.46502218105591603,0.5384321849105971,0.522297767546443,0.809303720206941,0.000686068606860686,5510000000.0,0.265218235929474,0.636054985548143,0.00514960012402083,0.10650905463010499,0.893490945369894,0.0053033191962841295,0.11093323366346801,0.0477253717624306,1,0,0.0247518480523254,0.575616645216918
5,0.38868034904694604,0.4151766245093761,0.419133786605279,0.8087705620671591,0.000716071607160716,608000000.0,0.26324995531933104,0.630183833098177,0.0142131516792967,0.180427487377936,0.8195725126220641,0.00491319258909057,0.112917172167462,0.099521933114496,1,0,0.026675365750547,0.56453833936354
6,0.390922829425243,0.44570431748800704,0.436158252583115,0.808960389800444,0.000805080508050805,5720000000.0,0.26303237988670497,0.629987945370611,0.0244412223346921,0.216101823019016,0.7838981769809841,0.005005044337865271,0.12056136646638499,0.060765124792415,1,0,0.0266222980418273,0.564200119780965
7,0.508360551845171,0.570922372437854,0.559077038385353,0.8093615278294229,0.00063006300630063,6630000000.0,0.26411170944355106,0.6313790222051751,0.00527818054149682,0.108202073948665,0.8917979260513349,0.00564016455895685,0.11450796884170801,0.0302011045942807,1,0,0.0270305165537491,0.566088941755739
8,0.48851947545459,0.545137374618404,0.5432839017077999,0.809338092306795,0.000737073707370737,6890000000.0,0.264150562199377,0.6309149874659251,0.00226611586828259,0.05859056141729901,0.941409438582701,0.00541794617431905,0.11093323366346801,0.021710461445183998,1,0,0.0268906304546816,0.565591901310376
9,0.49568566275045095,0.550915830789359,0.542962685368596,0.809320385467476,0.000672067206720672,5550000000.0,0.263883255239294,0.6321882576951,0.00635424360973563,0.121292741179672,0.878707258820328,0.00547525966333651,0.11549897825205001,0.0254943019553504,1,0,0.0272430149466587,0.5666676223592071
10,0.482474528347877,0.5675425207152199,0.538197976337063,0.809459696629764,0.0005490549054905491,747000000.0,0.26390112750697403,0.6312369008643721,0.00493256367466419,0.10357650331045698,0.896423496689543,0.0058105755539587895,0.120942626541559,0.0471663480130232,1,0,0.0269710912232694,0.565891530490222
11,0.444401111490274,0.549716528565198,0.498956046897585,0.809389129667184,0.000703070307030703,5730000000.0,0.263912783333722,0.632095793208312,0.00429239734084754,0.0943858270097046,0.905614172990295,0.00541421982423252,0.116458578430907,0.0337116016801524,1,0,0.0273908578413325,0.566982649156004
